Name;burgMapLink
Abderikast;https://watabou.github.io/city-generator/?name=Abderikast&population=17951&size=39&seed=9151100960451&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Acciarovia;https://watabou.github.io/village-generator/?pop=1037&name=Acciarovia&seed=9151100960332&width=1400&height=636&tags=highway%2Cno+square%2Cdense
Achargydon;https://watabou.github.io/city-generator/?name=Achargydon&population=7173&size=27&seed=9151100960447&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Acharnas;https://watabou.github.io/city-generator/?name=Acharnas&population=2580&size=19&seed=9151100960434&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.58
Acquano;https://watabou.github.io/city-generator/?name=Acquano&population=937&size=13&seed=9151100960102&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Ahralara;https://watabou.github.io/city-generator/?name=Ahralara&population=2390&size=18&seed=9151100960254&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Aijarvo;https://watabou.github.io/city-generator/?name=Aijarvo&population=13388&size=35&seed=9151100960592&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Aikontos;https://watabou.github.io/city-generator/?name=Aikontos&population=17963&size=39&seed=9151100960414&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Akrodile;https://watabou.github.io/city-generator/?name=Akrodile&population=16043&size=37&seed=9151100960419&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Aktas;https://watabou.github.io/city-generator/?name=Aktas&population=6123&size=26&seed=9151100960091&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Alcauzonque;https://watabou.github.io/city-generator/?name=Alcauzonque&population=1173&size=14&seed=9151100960103&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Alhadinxa;https://watabou.github.io/city-generator/?name=Alhadinxa&population=1991&size=17&seed=9151100960584&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.75
Alhala;https://watabou.github.io/village-generator/?pop=763&name=Alhala&seed=9151100960559&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+square%2Cdense
Alhao;https://watabou.github.io/city-generator/?name=Alhao&population=5352&size=24&seed=9151100960425&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Alleteva;https://watabou.github.io/city-generator/?name=Alleteva&population=856&size=12&seed=9151100960224&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.06
Allos;https://watabou.github.io/village-generator/?pop=1263&name=Allos&seed=9151100960324&width=1400&height=636&tags=river%2Chighway%2Cno+square%2Cdense
Amphidau;https://watabou.github.io/city-generator/?name=Amphidau&population=18717&size=39&seed=9151100960051&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.97
Amphiniapon;https://watabou.github.io/city-generator/?name=Amphiniapon&population=6878&size=27&seed=9151100960057&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Ampiaraion;https://watabou.github.io/city-generator/?name=Ampiaraion&population=12358&size=34&seed=9151100960191&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Antro;https://watabou.github.io/city-generator/?name=Antro&population=10180&size=31&seed=9151100960558&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Antsaa;https://watabou.github.io/village-generator/?pop=673&name=Antsaa&seed=9151100960334&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+square%2Cdense
Antse;https://watabou.github.io/city-generator/?name=Antse&population=22898&size=42&seed=9151100960442&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Antsniera;https://watabou.github.io/village-generator/?pop=1555&name=Antsniera&seed=9151100960430&width=1600&height=727&tags=highway%2Cdense
Antspola;https://watabou.github.io/city-generator/?name=Antspola&population=1535&size=15&seed=9151100960121&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Aphinoi;https://watabou.github.io/city-generator/?name=Aphinoi&population=4623&size=23&seed=9151100960511&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Archia;https://watabou.github.io/village-generator/?pop=1885&name=Archia&seed=9151100960271&width=1600&height=727&tags=estuary%2Chighway%2Cdense
Arempil;https://watabou.github.io/village-generator/?pop=1200&name=Arempil&seed=9151100960579&width=1400&height=636&tags=highway%2Cuncultivated%2Cno+square%2Cdense
Artamon;https://watabou.github.io/village-generator/?pop=1696&name=Artamon&seed=9151100960233&width=1600&height=727&tags=coast%2Chighway%2Cdense
Askroiragi;https://watabou.github.io/city-generator/?name=Askroiragi&population=11490&size=33&seed=9151100960371&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Athreiaion;https://watabou.github.io/city-generator/?name=Athreiaion&population=1169&size=14&seed=9151100960122&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.86
Athrexand;https://watabou.github.io/city-generator/?name=Athrexand&population=8295&size=29&seed=9151100960035&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Avusi;https://watabou.github.io/city-generator/?name=Avusi&population=5590&size=25&seed=9151100960437&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Bafen;https://watabou.github.io/city-generator/?name=Bafen&population=7962&size=28&seed=9151100960171&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.26
Bagliano;https://watabou.github.io/village-generator/?pop=1018&name=Bagliano&seed=9151100960352&width=1400&height=636&tags=highway%2Cdense
Bagna;https://watabou.github.io/village-generator/?pop=1362&name=Bagna&seed=9151100960194&width=1400&height=636&tags=highway%2Cdense
Bagoldtnau;https://watabou.github.io/village-generator/?pop=1509&name=Bagoldtnau&seed=9151100960111&width=1600&height=727&tags=highway%2Cno+square%2Cdense
Baspone;https://watabou.github.io/city-generator/?name=Baspone&population=4198&size=22&seed=9151100960333&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.15
Beaury;https://watabou.github.io/city-generator/?name=Beaury&population=6403&size=26&seed=9151100960243&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Benas;https://watabou.github.io/city-generator/?name=Benas&population=2246&size=18&seed=9151100960229&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.89
Benikauru;https://watabou.github.io/city-generator/?name=Benikauru&population=7682&size=28&seed=9151100960263&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Bereny;https://watabou.github.io/city-generator/?name=Bereny&population=4442&size=23&seed=9151100960576&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Bhryroryst;https://watabou.github.io/city-generator/?name=Bhryroryst&population=14398&size=36&seed=9151100960443&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.53
Biamevegy;https://watabou.github.io/city-generator/?name=Biamevegy&population=979&size=13&seed=9151100960181&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Biler;https://watabou.github.io/village-generator/?pop=1675&name=Biler&seed=9151100960085&width=1600&height=727&tags=highway%2Cno+square%2Cdense
Bjorve;https://watabou.github.io/city-generator/?name=Bjorve&population=11820&size=33&seed=9151100960127&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Bjorvimaaja;https://watabou.github.io/village-generator/?pop=1476&name=Bjorvimaaja&seed=9151100960521&width=1400&height=636&tags=coast%2Chighway%2Cuncultivated%2Cno+square%2Cdense
Bolis;https://watabou.github.io/city-generator/?name=Bolis&population=2000&size=17&seed=9151100960138&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Bracaoruche;https://watabou.github.io/city-generator/?name=Bracaoruche&population=2176&size=17&seed=9151100960499&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Bracca;https://watabou.github.io/city-generator/?name=Bracca&population=6573&size=26&seed=9151100960453&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Brauramos;https://watabou.github.io/village-generator/?pop=1471&name=Brauramos&seed=9151100960556&width=1400&height=636&tags=coast%2Chighway%2Cuncultivated%2Cdense
Braurion;https://watabou.github.io/village-generator/?pop=1691&name=Braurion&seed=9151100960449&width=1600&height=727&tags=highway%2Cdense
Breisburg;https://watabou.github.io/village-generator/?pop=1067&name=Breisburg&seed=9151100960535&width=1400&height=636&tags=coast%2Chighway%2Cuncultivated%2Cdense
Broccalupo;https://watabou.github.io/village-generator/?pop=1493&name=Broccalupo&seed=9151100960291&width=1400&height=636&tags=highway%2Cdense
Bybla;https://watabou.github.io/city-generator/?name=Bybla&population=9787&size=31&seed=9151100960066&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Callano;https://watabou.github.io/village-generator/?pop=914&name=Callano&seed=9151100960174&width=1000&height=455&tags=highway%2Cno+square%2Cdense
Calwand;https://watabou.github.io/city-generator/?name=Calwand&population=3276&size=20&seed=9151100960185&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.48
Camba;https://watabou.github.io/city-generator/?name=Camba&population=3022&size=20&seed=9151100960074&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Canoco;https://watabou.github.io/village-generator/?pop=1087&name=Canoco&seed=9151100960403&width=1400&height=636&tags=highway%2Cdense
Canoricicen;https://watabou.github.io/village-generator/?pop=1039&name=Canoricicen&seed=9151100960166&width=1400&height=636&tags=highway%2Cdense
Carea;https://watabou.github.io/village-generator/?pop=718&name=Carea&seed=9151100960547&width=1000&height=455&tags=highway%2Cuncultivated%2Cdense
Careibei;https://watabou.github.io/village-generator/?pop=1006&name=Careibei&seed=9151100960343&width=1400&height=636&tags=highway%2Cno+square%2Cdense
Careira;https://watabou.github.io/village-generator/?pop=1076&name=Careira&seed=9151100960186&width=1400&height=636&tags=highway%2Cno+square%2Cdense
Carvoso;https://watabou.github.io/city-generator/?name=Carvoso&population=2643&size=19&seed=9151100960516&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Carvosopo;https://watabou.github.io/city-generator/?name=Carvosopo&population=6916&size=27&seed=9151100960203&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.46
Casta;https://watabou.github.io/city-generator/?name=Casta&population=4570&size=23&seed=9151100960585&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Celbertonmaj;https://watabou.github.io/city-generator/?name=Celbertonmaj&population=12222&size=33&seed=9151100960054&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Celmaszalint;https://watabou.github.io/village-generator/?pop=1823&name=Celmaszalint&seed=9151100960097&width=1600&height=727&tags=highway%2Cdense
Cenque;https://watabou.github.io/city-generator/?name=Cenque&population=6986&size=27&seed=9151100960503&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Censares;https://watabou.github.io/city-generator/?name=Censares&population=12153&size=33&seed=9151100960089&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.64
Cercellicel;https://watabou.github.io/city-generator/?name=Cercellicel&population=1183&size=14&seed=9151100960566&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Chainte;https://watabou.github.io/city-generator/?name=Chainte&population=9203&size=30&seed=9151100960104&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Chalbia;https://watabou.github.io/city-generator/?name=Chalbia&population=14299&size=35&seed=9151100960477&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Chanadingal;https://watabou.github.io/city-generator/?name=Chanadingal&population=1451&size=15&seed=9151100960290&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Chios;https://watabou.github.io/city-generator/?name=Chios&population=7970&size=28&seed=9151100960120&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Cleolisme;https://watabou.github.io/city-generator/?name=Cleolisme&population=6068&size=26&seed=9151100960245&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Coimbragos;https://watabou.github.io/village-generator/?pop=1099&name=Coimbragos&seed=9151100960483&width=1400&height=636&tags=highway%2Cdense
Coimbral;https://watabou.github.io/city-generator/?name=Coimbral&population=3696&size=21&seed=9151100960011&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.95
Combrechien;https://watabou.github.io/city-generator/?name=Combrechien&population=8353&size=29&seed=9151100960217&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Conta;https://watabou.github.io/city-generator/?name=Conta&population=3695&size=21&seed=9151100960150&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Corma;https://watabou.github.io/city-generator/?name=Corma&population=3960&size=22&seed=9151100960013&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.06
Cournoy;https://watabou.github.io/city-generator/?name=Cournoy&population=10891&size=32&seed=9151100960099&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Crotray;https://watabou.github.io/city-generator/?name=Crotray&population=8080&size=29&seed=9151100960118&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Crotre;https://watabou.github.io/city-generator/?name=Crotre&population=6877&size=27&seed=9151100960223&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Csongrad;https://watabou.github.io/city-generator/?name=Csongrad&population=7550&size=28&seed=9151100960461&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Csorpelek;https://watabou.github.io/city-generator/?name=Csorpelek&population=6079&size=26&seed=9151100960098&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Cuerderare;https://watabou.github.io/village-generator/?pop=916&name=Cuerderare&seed=9151100960588&width=1000&height=455&tags=river%2Chighway%2Cdense
Cylis;https://watabou.github.io/city-generator/?name=Cylis&population=1355&size=15&seed=9151100960105&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Cytheta;https://watabou.github.io/city-generator/?name=Cytheta&population=5364&size=24&seed=9151100960027&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Cytho;https://watabou.github.io/city-generator/?name=Cytho&population=8470&size=29&seed=9151100960072&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Cytos;https://watabou.github.io/city-generator/?name=Cytos&population=3187&size=20&seed=9151100960212&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Debesmoscu;https://watabou.github.io/city-generator/?name=Debesmoscu&population=2664&size=19&seed=9151100960024&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.26
Degamos;https://watabou.github.io/city-generator/?name=Degamos&population=2713&size=19&seed=9151100960082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
